iter	Passed	Remaining
0	1	115
1	2	113
2	3	107
3	4	108
4	5	102
5	6	98
6	7	95
7	7	91
8	8	88
9	9	85
10	10	83
11	11	80
12	11	79
13	12	78
14	13	76
15	14	74
16	14	72
17	15	70
18	16	69
19	17	68
20	17	66
21	18	65
22	19	63
23	19	62
24	20	60
25	20	59
26	21	57
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	48
35	26	47
36	27	46
37	28	45
38	28	44
39	29	43
40	29	42
41	30	42
42	30	41
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	39	27
59	40	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
