iter	Passed	Remaining
0	0	684
1	1	698
2	1	646
3	2	635
4	3	638
5	3	630
6	4	646
7	5	636
8	5	634
9	6	662
10	7	701
11	8	729
12	9	724
13	10	721
14	11	725
15	11	724
16	12	713
17	12	705
18	13	695
19	14	690
20	14	687
21	15	690
22	16	691
23	16	691
24	17	690
25	18	696
26	19	691
27	19	690
28	20	682
29	21	679
30	22	698
31	22	694
32	23	699
33	24	697
34	25	695
35	25	693
36	26	691
37	29	734
38	29	733
39	30	733
40	31	730
41	31	728
42	32	726
43	33	723
44	33	719
45	34	715
46	35	710
47	35	708
48	36	706
49	37	711
50	38	707
51	38	703
52	39	699
53	39	697
54	40	694
55	40	689
56	41	686
57	42	685
58	43	695
59	44	694
60	45	694
61	45	691
62	46	690
63	47	689
64	47	686
65	48	686
66	49	686
67	49	684
68	50	682
69	51	682
70	52	681
71	52	680
72	53	678
73	54	677
74	54	677
75	55	675
76	56	677
77	57	675
78	57	672
79	58	668
80	58	669
81	59	669
82	60	667
83	61	665
84	61	665
85	62	663
86	62	661
87	64	663
88	64	660
89	65	659
90	65	657
91	66	660
92	67	661
93	68	661
94	69	661
95	70	663
96	71	661
97	71	661
98	72	660
99	73	659
100	73	658
101	74	656
102	75	654
103	75	652
104	76	649
105	76	647
106	77	644
107	77	641
108	78	639
109	78	638
110	79	636
111	80	635
112	80	633
113	81	631
114	82	632
115	82	631
116	83	629
117	84	630
118	85	629
119	85	627
120	86	627
121	86	625
122	87	623
123	87	621
124	88	618
125	88	616
126	89	613
127	89	611
128	90	609
129	90	606
130	91	604
131	92	606
132	93	606
133	93	604
134	94	603
135	94	602
136	95	600
137	96	600
138	96	599
139	97	598
140	97	596
141	98	594
142	99	594
143	99	593
144	100	592
145	101	592
146	102	594
147	103	595
148	104	594
149	104	594
150	105	593
151	106	594
152	107	594
153	108	593
154	108	592
155	109	592
156	110	591
157	111	592
158	111	592
159	112	591
160	113	589
161	113	588
162	114	587
163	115	588
164	116	589
165	117	589
166	118	589
167	118	588
168	119	587
169	120	586
170	120	584
171	121	584
172	122	583
173	122	582
174	123	582
175	124	582
176	125	581
177	125	580
178	126	581
179	127	580
180	127	578
181	128	578
182	129	577
183	129	576
184	130	575
185	131	575
186	132	575
187	133	574
188	134	575
189	134	574
190	135	574
191	136	573
192	137	572
193	137	572
194	138	571
195	139	570
196	139	569
197	140	568
198	140	567
199	141	566
200	142	566
201	143	565
202	143	564
203	144	563
204	144	561
205	145	560
206	146	560
207	147	560
208	147	559
209	148	559
210	149	559
211	150	560
212	151	558
213	151	557
214	152	556
215	152	555
216	153	554
217	154	552
218	154	552
219	155	551
220	156	551
221	157	551
222	158	550
223	158	550
224	159	548
225	160	548
226	160	548
227	161	547
228	162	545
229	162	544
230	163	545
231	164	544
232	165	543
233	165	541
234	166	540
235	166	539
236	167	538
237	167	537
238	168	535
239	168	534
240	169	533
241	169	532
242	170	531
243	171	532
244	172	531
245	173	530
246	173	529
247	174	528
248	174	526
249	175	525
250	175	523
251	176	523
252	177	523
253	177	522
254	178	520
255	178	519
256	179	518
257	179	517
258	180	516
259	180	514
260	181	513
261	181	512
262	182	510
263	182	509
264	183	508
265	183	506
266	184	505
267	184	504
268	185	503
269	187	508
270	188	506
271	188	505
272	189	504
273	190	503
274	190	502
275	191	501
276	191	500
277	192	499
278	193	499
279	193	497
280	194	496
281	194	496
282	195	495
283	196	494
284	196	493
285	197	492
286	197	491
287	198	490
288	198	489
289	199	488
290	200	488
291	201	488
292	201	487
293	202	486
294	203	485
295	203	484
296	204	484
297	205	483
298	205	482
299	206	480
300	206	479
301	207	478
302	207	477
303	209	480
304	210	479
305	211	479
306	211	478
307	212	477
308	212	476
309	213	474
310	213	473
311	214	472
312	214	471
313	215	470
314	215	469
315	216	468
316	217	467
317	217	467
318	218	466
319	219	465
320	219	464
321	220	464
322	220	463
323	221	462
324	222	461
325	222	460
326	223	460
327	224	459
328	224	458
329	225	457
330	225	456
331	226	456
332	227	455
333	227	454
334	228	453
335	229	452
336	229	452
337	230	451
338	231	450
339	231	449
340	232	448
341	232	447
342	233	446
343	233	445
344	234	444
345	234	443
346	234	442
